Description,6 RIBBONS RUSTIC CHARM,60 TEATIME FAIRY CAKE CASES,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED ,ANTIQUE SILVER T-LIGHT GLASS,ASSORTED COLOUR BIRD ORNAMENT,BAKING SET 9 PIECE RETROSPOT ,CHARLOTTE BAG SUKI DESIGN,CHOCOLATE HOT WATER BOTTLE,CLOTHES PEGS RETROSPOT PACK 24 ,COOK WITH WINE METAL SIGN ,DOLLY GIRL LUNCH BOX,DOORMAT KEEP CALM AND COME IN,DOORMAT RED RETROSPOT,GARDENERS KNEELING PAD CUP OF TEA ,GARDENERS KNEELING PAD KEEP CALM ,GIN + TONIC DIET METAL SIGN,GINGERBREAD MAN COOKIE CUTTER,GREEN REGENCY TEACUP AND SAUCER,GUMBALL COAT RACK,HAND OVER THE CHOCOLATE   SIGN ,HAND WARMER OWL DESIGN,HANGING HEART JAR T-LIGHT HOLDER,HEART OF WICKER LARGE,HEART OF WICKER SMALL,HOME BUILDING BLOCK WORD,HOT WATER BOTTLE KEEP CALM,IVORY KITCHEN SCALES,JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS,JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG 50'S CHRISTMAS ,JUMBO BAG ALPHABET,JUMBO BAG APPLES,JUMBO BAG PINK POLKADOT,JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,JUMBO BAG VINTAGE DOILY ,JUMBO BAG VINTAGE LEAF,JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO STORAGE BAG SUKI,LOVE BUILDING BLOCK WORD,LUNCH BAG  BLACK SKULL.,LUNCH BAG ALPHABET DESIGN,LUNCH BAG APPLE DESIGN,LUNCH BAG CARS BLUE,LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG SUKI DESIGN ,LUNCH BAG VINTAGE DOILY ,LUNCH BAG VINTAGE LEAF DESIGN,LUNCH BAG WOODLAND,NATURAL SLATE HEART CHALKBOARD ,PACK OF 20 NAPKINS PANTRY DESIGN,PACK OF 60 DINOSAUR CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,PAPER BUNTING RETROSPOT,PAPER CHAIN KIT 50'S CHRISTMAS ,PAPER CHAIN KIT VINTAGE CHRISTMAS,PARTY BUNTING,PINK CREAM FELT CRAFT TRINKET BOX ,PINK REGENCY TEACUP AND SAUCER,PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN WOODLAND ANIMALS,PLEASE ONE PERSON METAL SIGN,POPCORN HOLDER,POSTAGE,RABBIT NIGHT LIGHT,RECIPE BOX PANTRY YELLOW DESIGN,RED  HARMONICA IN BOX ,RED HANGING HEART T-LIGHT HOLDER,RED RETROSPOT CHARLOTTE BAG,REGENCY CAKESTAND 3 TIER,RETROSPOT HEART HOT WATER BOTTLE,RETROSPOT TEA SET CERAMIC 11 PC ,REX CASH+CARRY JUMBO SHOPPER,ROSES REGENCY TEACUP AND SAUCER ,ROUND SNACK BOXES SET OF4 WOODLAND ,SCOTTIE DOG HOT WATER BOTTLE,SET OF 3 CAKE TINS PANTRY DESIGN ,SET OF 3 REGENCY CAKE TINS,SET OF 4 PANTRY JELLY MOULDS,SET OF 6 SPICE TINS PANTRY DESIGN,SET/20 RED RETROSPOT PAPER NAPKINS ,SET/5 RED RETROSPOT LID GLASS BOWLS,SMALL WHITE HEART OF WICKER,SPACEBOY LUNCH BOX ,SPOTTY BUNTING,VICTORIAN GLASS HANGING T-LIGHT,VINTAGE SNAP CARDS,WHITE HANGING HEART T-LIGHT HOLDER,WOOD BLACK BOARD ANT WHITE FINISH,WOODEN FRAME ANTIQUE WHITE ,WOODEN PICTURE FRAME WHITE FINISH,WOODLAND CHARLOTTE BAG
6 RIBBONS RUSTIC CHARM,1.0,0.2028867835674456,0.0341589850504448,0.0526061789720067,0.06943641915622853,0.0557574526032624,0.1452493180040239,0.09784066431128714,0.3476272891109652,0.1516850271215399,0.32288659544789194,0.1495929375587934,0.514581099965268,0.09339323827999557,0.060703256952411584,0.11175618469312104,0.14358076166282477,0.016797753442970877,0.48353795546433365,0.3947452178018046,0.33566319011780826,0.03171794536769612,0.1670325925077868,0.1878649473975798,0.00927812787792146,0.02325154444324031,0.13650833809449653,0.3818430314492725,0.2619946429930678,0.2590204757122112,0.3205886223211275,0.0601328727441853,0.3781613677982148,0.12353430491898075,0.1613779807423863,0.14479838615798693,0.2997700685760317,0.2380103427573736,0.10840507809414121,0.4319796212245312,0.24387824376260292,0.2840472619112943,0.1883721676852208,0.13112714505746417,0.337154435336197,0.3829703459712672,0.5787399549629749,0.3617769461725883,0.3963223458327749,0.43725468177307186,0.4355366426552676,0.5271490051675285,0.3932824438940292,0.4733736208967221,0.28072453262777486,0.48569382724495475,0.1455142754457491,0.4034825866155957,0.17295588008717305,0.18097568306265174,0.42066515168973856,0.05103132105221687,0.16479649113380584,0.21750016007483614,0.18712548423980924,0.31681325939928484,0.38774642961386785,0.5150080673137959,0.4949431296916367,0.03641791958884405,0.03527479265119872,0.30249218801860506,0.424203125685309,0.09933341578506114,0.0428896841327139,0.01951534647301486,0.4635524180788483,0.2756065826742169,0.20344401311067514,0.14041439611994755,0.03435364732351176,0.25241470916190306,0.5104525968032635,0.044932765673982536,0.12887749984021565,0.3918898885642301,0.3778351792006408,0.10098734681076904,0.3558113116339774,0.10965713317628305,0.03927264139806404,0.5672014157309209,0.3059606013097185,0.06837371001780057,0.05703386929822271,0.0986050299217185,0.025261307158946804,0.07301663098214126,0.11190345499319589,0.48747215542853406
60 TEATIME FAIRY CAKE CASES,0.2028867835674456,1.0000000000000002,0.021547878696008226,0.05054587384557156,0.061326905609334105,0.018043942310905593,0.04953309979022126,0.08083910990380941,0.24300671642418065,0.18956069880304463,0.2570381097288949,0.1579934560458908,0.31720411305882495,0.006320202205749436,0.05386368021835895,0.06579730540086517,0.06857062643586026,0.012968958321856619,0.2748735650668398,0.14015450649231925,0.1875946571084459,0.02128683035018056,0.09171503168566422,0.1811328365133894,0.0040142206102158125,0.009428431071078916,0.05872310570358811,0.03729520870911773,0.21577953486328158,0.3434807610167157,0.25677409274411345,0.08461000145206458,0.21898555768414685,0.11640779848034656,0.12480982760356964,0.08658894952210272,0.1289288024139853,0.13385875149524712,0.07163935328802809,0.1335599488031141,0.11797368891638078,0.13810819870898097,0.08804222530572693,0.054536780376222886,0.20097640360182933,0.2267358294032159,0.23027615772796428,0.25747081585944803,0.2591748072372723,0.2961610406079747,0.3060169520129231,0.28434230862563886,0.253189044826405,0.25423089897521406,0.089122253238063,0.2965660882989448,0.03526614702804272,0.293851749578547,0.9137999168899507,0.4594196988055368,0.8459582422534954,0.03108940956538405,0.07858207359962519,0.10310432192457476,0.13156142211563868,0.17066384260644096,0.1165270894018295,0.33252402147773186,0.3068285179156976,0.09840821833320064,0.033992665865878055,0.08783764974872679,0.23060148692110663,0.14444933132261467,0.02022968526586207,0.03949671817265942,0.28903075796683947,0.14576494436858417,0.20397791790965458,0.06586773059691753,0.006866940285149867,0.16771344929383705,0.2894836379257786,0.13491518975446176,0.12681622416469404,0.20816201882600108,0.19518277797409467,0.06391650575788196,0.16748460690926348,0.2808417192607694,0.04703320592811447,0.30051035110190294,0.2507381859328537,0.021853961890159642,0.12857146085854693,0.06733399629442263,0.009038855278353262,0.028966330141490644,0.015423790773184145,0.2915983740230676
ALARM CLOCK BAKELIKE GREEN,0.0341589850504448,0.021547878696008226,0.9999999999999996,0.8385564486730321,0.8654732881627234,0.021862119036859307,0.05791433376081225,0.03335641238506686,0.01822247463883727,0.015539745499272568,0.021946578800243165,0.009536764949633753,0.02791009573816699,0.015003873864535944,0.006682040316860182,0.017284011104938525,0.02781734660879443,0.010218869766783293,0.02458291113540309,0.08501203697462778,0.13878048432969534,0.024150051640176123,0.1688476103602951,0.026360420980649224,0.0022809027001089396,0.0025549036309853858,0.0639676920968491,0.016234546004233907,0.04591760230153577,0.02691888840653813,0.03810017776493401,0.01166994549591333,0.01820297174305919,0.023486035535499425,0.017133073903889916,0.013124555080628968,0.013599180009943508,0.011635079471394881,0.00825301552594345,0.051825308105131196,0.019623347283735087,0.020657109160134645,0.010432085007525533,0.022778188283914015,0.023745631617644383,0.031319598551058175,0.043643728077521135,0.01944454248510679,0.03300699579512753,0.015610449212733241,0.03437027347016629,0.03793673354239134,0.024137503960323728,0.07434011552349004,0.05435632247612556,0.026256934791079573,0.031790292556370364,0.06763535165270868,0.008891684802248195,0.012723454184245052,0.022207059820686232,0.016347948843597977,0.032206260542919744,0.04195550432051892,0.04863878934821912,0.021300566721593247,0.08858862340241755,0.03357469087098859,0.03110147759051985,0.02993499148076825,0.014918305501269824,0.04635368925861651,0.052302284282721094,0.01802703197768438,0.013786924610603105,0.0060154728050446134,0.010699318730573542,0.042187827202867206,0.01813440424965609,0.05106084843537459,0.008844891741177021,0.055241274082978964,0.016770562122093963,0.052297819161846615,0.038483772406839936,0.04769025237320823,0.0422375848657282,0.026248857166668096,0.03199711338446906,0.045114489718135045,0.011617699378395015,0.02918441646133199,0.04729712733439627,0.01991144203147173,0.08319119898803395,0.02209639360862193,0.007780938805133305,0.01424632819830644,0.009690116532724112,0.007644644987898982
ALARM CLOCK BAKELIKE PINK,0.0526061789720067,0.05054587384557156,0.8385564486730321,0.9999999999999999,0.8331650686525787,0.006510177514212456,0.016275282395524282,0.2182587400921997,0.00847563713271083,0.0713985945029181,0.03855811201540625,0.2747564623770833,0.026930354151084954,0.017417525602141003,0.040834844535308196,0.0114528618322811,0.014102603276004096,0.08776450602793462,0.028166098324612476,0.07908387276817308,0.02893647516717418,0.010888889077962718,0.034417518879033986,0.029178852683825487,0.2952741896069148,0.293615668806182,0.039810562129513935,0.03827928633738622,0.06532403504000403,0.07363328315396762,0.22386108937982066,0.004442206754348198,0.00807508821459332,0.011900978868928243,0.009253733925898375,0.011432562376139254,0.017226073896930066,0.007439777532913442,0.005266310698003372,0.0422853470244787,0.018076080348954145,0.006534853327480385,0.005472766251853859,0.08356800119833539,0.017652414204005568,0.02737871051547248,0.04629980415742536,0.032233246305841,0.05383971193223262,0.029799273163137664,0.040188129389230734,0.028975852343538337,0.01906016685565136,0.045385284107238175,0.04098526677430993,0.02151711475812778,0.017590096223789875,0.06511108533176717,0.021818085779856482,0.039453637263990676,0.035787934869809926,0.008520864929551729,0.015329197577535337,0.02427201327098711,0.037372358448574144,0.00622180637626404,0.07725660040400191,0.04198451941696936,0.031089308318996096,0.22626144022376754,0.01713327315162591,0.07503060690760986,0.033392242878082144,0.21882647469825878,0.015358050351858272,0.2968493457788318,0.007793773847085289,0.07310120080025942,0.2999882989047258,0.03274122381516036,0.005283318431458562,0.07940331621125003,0.012665455031218971,0.28130734044431194,0.28697046631041423,0.07381427665493692,0.17335293126501625,0.3002525713150015,0.025783560275987098,0.09807550391412773,0.021569096001184847,0.02530470218816187,0.1699007162223437,0.006085364648918762,0.04319738717123378,0.19741588696036289,0.003114239262940356,0.010916782878232043,0.013138432164945757,0.008520709838359612
ALARM CLOCK BAKELIKE RED ,0.06943641915622853,0.061326905609334105,0.8654732881627234,0.8331650686525787,1.0,0.014455325392408425,0.04092317305848242,0.02365689486673883,0.014712675568468322,0.08412641436097278,0.04619019757147799,0.11691521956743799,0.035007476279870164,0.03685678378444074,0.016915379985505744,0.013082461831247234,0.017774219874467267,0.007027559625700782,0.048500073096729865,0.17609152316092783,0.07948982518666001,0.14687098156351577,0.12023900351639291,0.03995384728467781,0.0016316267556907554,0.0029687043991606936,0.060144966913811236,0.12287045310384617,0.08156210855135801,0.20307688072343516,0.13766725748012346,0.00875443808187333,0.013654102377147646,0.017735041413060388,0.01823331980247523,0.0076325862118934275,0.037051385481728795,0.015619661225385391,0.004989002871835746,0.08251706475163048,0.03573780389111951,0.014201376004693511,0.00909315077839918,0.0403358284455941,0.02264168110741676,0.03333863229632195,0.1034768382841121,0.04031093179097053,0.058886958608255206,0.03401475946569149,0.04816717634165665,0.030715814522592116,0.025176815926334504,0.05303213019285294,0.09583819496623587,0.027150181437540118,0.292297762635856,0.05223737354528049,0.025698426465360337,0.07955029274720432,0.051607295550249864,0.012124922795250442,0.025839150990911323,0.03507990284691371,0.05381996054074202,0.011685393961754217,0.171298597410349,0.04241003270503587,0.01787828022144105,0.050273729778533255,0.017315225765095477,0.039301921186400836,0.027232759673718857,0.0574786833199342,0.01593032093089137,0.012257745155746196,0.010435562717300586,0.0764883416694731,0.06834986210113121,0.03623429789670016,0.009556141026153745,0.14378089087620594,0.0117737226013658,0.0956711585763022,0.04795900781782619,0.09534880918523712,0.09133502250270967,0.04051874855290394,0.022317041235380888,0.1210111540512002,0.023682700355340428,0.04673854698908689,0.1025973499051599,0.010362476662025322,0.07403213943069781,0.02033657316936265,0.005527163736183529,0.013427257460635823,0.02990681381552827,0.009804055252902334
ANTIQUE SILVER T-LIGHT GLASS,0.0557574526032624,0.018043942310905593,0.021862119036859307,0.006510177514212456,0.014455325392408425,1.0,0.05816484997948953,0.062266454601002746,0.012311176356504664,0.05147215096850668,0.05624907672701057,0.013421959143258805,0.014211804591491269,0.0053091138742696,0.018459659256814018,0.017338963694854336,0.02853437343365819,0.006704557165924838,0.03479876445341165,0.10707215010811527,0.032535905546498385,0.008587222232236784,0.07085152427675494,0.15607543119732006,0.010224936656795467,0.020064268629665684,0.06776148934073253,0.028228128732265052,0.034588379027256096,0.04860091775507878,0.05069438752754922,0.009189804709015795,0.03274956703839785,0.02189208323385909,0.020447503417801355,0.01594995834034793,0.013080687709924436,0.018110933860286792,0.007222613595568434,0.0370427666961522,0.04045367516834823,0.028375162887961058,0.007870495051305725,0.08309849222251105,0.04379158847510188,0.030218098979444743,0.02931728407687537,0.030536323491517078,0.023559346064435695,0.05561454469320662,0.04366889868466891,0.03410028748332622,0.011115071069965513,0.0689653425499885,0.042558648373642496,0.024299750575666787,0.11166116748015455,0.06088272768580938,0.014952634086262481,0.009538249549108185,0.017229375421267616,0.028911381683993945,0.05596977920835808,0.040499137583279055,0.062385115047662525,0.027678012935116687,0.10070483398615358,0.004182152162823461,0.0055873158526128465,0.020285921656057748,0.005180092878907719,0.003001374964820146,0.02128083504744047,0.0367812212070263,0.0033129391065671635,0.011607821486219588,0.014118344805606897,0.0891240895590303,0.04384507469888854,0.10029278031892633,0.02139006025786016,0.06092221228201587,0.003794847514313116,0.023916261502489895,0.029910938141820508,0.03133075234841791,0.04071956701090422,0.006516155057658486,0.014100684858086548,0.04866152770963682,0.06561423335545305,0.018636835220260013,0.06662569349270789,0.3978004351044256,0.026608648351533624,0.025375961043907033,0.008531041069299836,0.07440550584139889,0.06657752574738977,0.015509694581216288
ASSORTED COLOUR BIRD ORNAMENT,0.1452493180040239,0.04953309979022126,0.05791433376081225,0.016275282395524282,0.04092317305848242,0.05816484997948953,1.0000000000000002,0.021344740503130486,0.0496826304151492,0.07250426043308239,0.13058967259855625,0.02176406717019207,0.07645881245858513,0.04520159978757299,0.04297226538999907,0.05040844509364062,0.10346905676206049,0.012179021081575371,0.08404852475706281,0.06765587152817278,0.07070698372875674,0.023898963904262396,0.1586721863311643,0.08303414224539905,0.008871067565057688,0.018289592569075534,0.13537045933705424,0.06216732602652576,0.04902091276450075,0.05761319334347961,0.06999885552412878,0.02533239702766917,0.10922276027432648,0.3148740628204172,0.03749579526017881,0.04124086969157962,0.06227139645208141,0.05688361386889165,0.031421651855154206,0.39320392500275625,0.09402187929823173,0.10462528063695409,0.07474898338387827,0.11207797279883946,0.1063818315479349,0.637904710170317,0.10007248320196388,0.08613801138553845,0.0852564147688504,0.09248597959061247,0.11906797187835946,0.10893315002577787,0.07761780496085943,0.1386473968517502,0.07752116441216882,0.0737331282832421,0.09573490069219764,0.09620525585083976,0.036593448202376734,0.022259597256056963,0.06995203823810112,0.018737061796160158,0.09454922379386202,0.12959607566938222,0.0954676587130488,0.41101279976777866,0.054819442247303875,0.07007380042487099,0.06905581553517796,0.035611649916548534,0.3216928106554927,0.04112144316478235,0.16264409673165958,0.03057116991228863,0.047074317273515874,0.011099526777351565,0.0657653873388378,0.12586043809128517,0.0787668733787686,0.1541556017391968,0.04192090576388958,0.04870882871798582,0.057327073430607146,0.0553944098498466,0.032156259584805474,0.05826980959109584,0.08787584356821546,0.025253211822446074,0.09774150166771157,0.04104158392878833,0.023143979573261433,0.0849608428577922,0.15236101634400556,0.05742105610498847,0.018957830930276295,0.04899633852082398,0.018058429196150142,0.07578204929329384,0.056090240145035254,0.07068508366675995
BAKING SET 9 PIECE RETROSPOT ,0.09784066431128714,0.08083910990380941,0.03335641238506686,0.2182587400921997,0.02365689486673883,0.062266454601002746,0.021344740503130486,1.0,0.06259254459146324,0.03615518080407082,0.0699235836089155,0.4548941531731387,0.07676469526220059,0.022129067271525513,0.07333346418250636,0.03188856910480292,0.05274168601658996,0.18815158862650375,0.1443024979423891,0.19633063319498065,0.06199980201247603,0.005673633502537921,0.020472209516587462,0.20332821120000913,0.6471232567138361,0.6475946898872479,0.10551071600184973,0.02876027632044567,0.1226174686701972,0.0930437891823398,0.5094792422587594,0.015444081580735333,0.035484564843540296,0.04156970374508886,0.023627886771220512,0.02844345841136703,0.040424176279956675,0.038282018165982756,0.012134195392392433,0.05990055991613724,0.04777352459714819,0.022934352781397816,0.00795972756742592,0.25433345350866265,0.053749700804072174,0.08944693171127469,0.07176972175500002,0.0570872686972282,0.11301573236198789,0.07535388743913653,0.06890917950990517,0.10291993680244656,0.048134179406332904,0.11780151315600883,0.06926730860858576,0.07175435390600281,0.09373003559404815,0.24019333172735158,0.08069739351187741,0.04659778483186307,0.08416561348290648,0.024276947343437324,0.07745745230255006,0.12588455668703402,0.08393986930201865,0.03834290483221953,0.21569467676755485,0.08888125499333274,0.08475757155083442,0.4231642940373307,0.01796792390677405,0.048510426000013755,0.10262034238466973,0.661828021821184,0.04175621732699669,0.6477125119552648,0.05615727857775582,0.11793248613358087,0.56420083220862,0.35449868806536433,0.02545242400407649,0.12173090399083152,0.06793170962986067,0.504556369916675,0.6301472805915602,0.10415902978235395,0.3493208731664441,0.6440780181388907,0.09415118931278478,0.07029583827069591,0.04330139213614961,0.07254766063748783,0.3101202191515855,0.0680207341746019,0.18853727598697165,0.4369331227099834,0.005943558095013359,0.03973435354045074,0.018552261534016873,0.0625423105690985
CHARLOTTE BAG SUKI DESIGN,0.3476272891109652,0.24300671642418065,0.01822247463883727,0.00847563713271083,0.014712675568468322,0.012311176356504664,0.0496826304151492,0.06259254459146324,1.0000000000000004,0.09984137500098123,0.38504929241798,0.017576571745201202,0.6286069061559846,0.009219014039851044,0.05707083228502571,0.06773276328884367,0.06516517096523627,0.008008429594764773,0.4371726460295429,0.0990857114235368,0.47774592232682395,0.013361358935674118,0.14331590658833177,0.3330096014044117,0.009435839744186082,0.014422119227950263,0.09537663315152979,0.029996568227896668,0.2845786458823592,0.24345758615284036,0.18302355298717063,0.356109022931959,0.4815202790556665,0.30973438244949525,0.3219934945193033,0.27017755018811823,0.3456955985313853,0.34536685209698015,0.13978555319816982,0.144053878991023,0.10279043103276568,0.4230550031503455,0.3959909617837823,0.05204309825394286,0.555834355221487,0.44821627782721873,0.5256293105092374,0.512118455957103,0.41408697912992154,0.672999367641945,0.6646811630156209,0.5988529481732615,0.6623240290963426,0.425164235318082,0.19337990836722052,0.7335779572089006,0.07166855355357199,0.31151813787707305,0.25023394337964805,0.06942794141278931,0.48772437992057255,0.05602875812243402,0.08936955752569228,0.0550024675504037,0.20921888980892414,0.36095420800615974,0.08169254730690709,0.6202390008121529,0.6221757775889624,0.02762506567156177,0.018443193022605813,0.19948879228852323,0.4989763041464157,0.08582982619575105,0.005024840208227057,0.03821550309804468,0.782747691449883,0.13911253460037795,0.17840870693575905,0.07058782620609236,0.03350718169453204,0.0707309647787301,0.6583403463183674,0.019737772935137458,0.06738423245050694,0.278973421823061,0.24086328479815006,0.016980116117522752,0.23669379730380602,0.1479373905102437,0.1317999797012402,0.6232888074561406,0.0824779238174146,0.042389957619211605,0.0345134797680375,0.06950141469101681,0.009168675838205983,0.08634978127743542,0.050047174382591125,0.7564667960424992
CHOCOLATE HOT WATER BOTTLE,0.1516850271215399,0.18956069880304463,0.015539745499272568,0.0713985945029181,0.08412641436097278,0.05147215096850668,0.07250426043308239,0.03615518080407082,0.09984137500098123,0.9999999999999998,0.16404852988042853,0.24072775746508437,0.0703939442009507,0.032367467427460314,0.04931673005215665,0.03655958460312149,0.044938282512443695,0.014909013741006595,0.09274168089214707,0.18866193421784938,0.01937839155895968,0.02767686934468091,0.10901740699594731,0.19330154746679357,0.012184692511715663,0.026166539279782155,0.120925049630385,0.19760398668057066,0.12708354029857744,0.21749813483904798,0.277133468162596,0.06461972876807102,0.07369229616010865,0.04957022256229046,0.04266566951482023,0.03985602656785529,0.024082251970340564,0.04061928417100863,0.011881620215962192,0.041386601692141436,0.039529697546888946,0.03525082332741051,0.05527147496082936,0.15869496122455537,0.09968699965371913,0.08836042291872026,0.07707572072378943,0.13474626150422944,0.148167327515228,0.14694926104850103,0.15796137919726885,0.047613664484411025,0.09168335029050362,0.07143062097950224,0.060687198148719895,0.08421251288914432,0.12024484671489687,0.15735331085957155,0.07886485708131467,0.09138030765515155,0.10326060856645036,0.021546972509871646,0.08075292636386479,0.08460032115697723,0.16584447634953406,0.0320278078293163,0.14279639515316409,0.05941537167192945,0.014977460235744932,0.1388481580681112,0.043136754218922505,0.0008217470068038158,0.007331078138105936,0.18408446547537433,0.03041474236233315,0.04872057415579982,0.04138838351465647,0.1672566827968295,0.3146981245627386,0.044081095284297586,0.0694478342443074,0.23208286966682104,0.005133983693349266,0.2944489708759311,0.11574214813119577,0.09978301235842901,0.12238112141669438,0.08932409208485664,0.031372328821009786,0.35169489581412305,0.08828221410893664,0.04601487754772058,0.28113673215921153,0.05868068563346219,0.17099646461639734,0.06114868969009457,0.013638546234818666,0.1481915597507855,0.08036693960781872,0.03580285357192255
